sample_article	Country	year	article_number	New Type	Content	Female 	 Male	Female 	 Male	female_diff	Male_diff	FEMALE_ERROR	male_error	female_score	Male_score
150	Australia	1991	61	Political	"SYDNEY, Nov 17, Reuter - American hopes of challenging boxing rivals Cuba and the Soviet Union were dealt another blow on Sunday when three of their 12-man squad suffered surprise losses at the world amateur championships. 

Five of the team have now been eliminated in the preliminary bouts while the Cubans have won all 10 of their fights and remain on course to claim more than half the medals on offer. 
 
TD 
 The first American casualty on the championships' third day was Oscar De La Hoya, a strong prospect for a medal in the lightweight (60 kg) division. 

De La Hoya, United States featherweight (50 kg) champion in 1990 and 1991, went down by 17 points to 13 to German Marko Rudolph and blamed poor timing for his loss. 

""My conditioning was good...but my timing was off,"" De La Hoya said. ""But I thought I scored more jabs than the judges gave me credit for."" 

It was De La Hoya's first defeat in international competition since 1987 and was followed by compatriot Sean Fletcher's heavy defeat on points by Thailand's Paulauc Poontharat in the bantamweight division. 

De La Hoya, 18, from Los Angeles, said defeat had not hurt his ambition of winning gold at next year's Olympics. 

""My dream is the Olympic gold and that's still alive, this loss has taken a lot of pressure off me,"" he said. 

Light-middleweight (71 kg) Raul Marquez, a bronze medallist in the welterweight division at the last championships in 1989, made it a trio of American losses when he was outpointed 27 to 17 by Norwegian Ole Klemetsen. 

The only bright spot for the Americans was the form of current world amateur champion light-flyweight (48 kg) Eric Griffen who easily outpointed his South Korean opponent Cho Dong-Bum by 48 to 18. 

Griffen, who missed out on an Olympic medal in Seoul when he was sent home after testing positive for marijuana, remains America's best hope of gold in these championships. 

The formidable Cubans marched on undefeated, their latest victory coming in the light-flyweight division when Rogelio Marcelo beat Domenic Filane of Canada who was disqualified in the second round. 

The Soviet team also added to Saturday's successes with three wins, Eugeny Zykoy looking the most impressive in the welterweight (67 kg) division when he stopped South Korean Chun Jin-Chul in the third round. 
 

"	1	5	1	5	0	0			1	5
258	Australia	2003	66	Political	"SYDNEY, Oct 5 (Reuters) - The safety of those attending services in Bali to remember 202 people killed in bomb blasts there a year ago could not be guaranteed but Australian Prime Minister John Howard said on Sunday he would still go. 

""I can't guarantee it,"" Howard told Nine Network television when asked about security at the October 12 memorials. 
 
TD 
 ""I will be going, my wife will be going. There is a risk but there is also very heavy protection and very heavy security being provided by the Indonesians,"" he said. 

Eighty-eight Australians were among the 202 people killed when two bombs ripped through nightclubs packed with tourists on the Indonesian island last October 12. 

Australia has already warned those planning to travel to Bali for the memorials that more attacks are being planned by Jemaah Islamiah, the al Qaeda-linked Southeast Asian network blamed for the bombings. 

It has cautioned its nationals to defer non-essential travel to Indonesia, including the holiday island of Bali. 

But the Australian government is also paying for up to 500 survivors and family members of victims to go to Bali to commemorate the bombings. 

""I judge that it's important in the nation's grieving process that this memorial service take place, I think it's imperative that the prime minister go,"" Howard said. 

""I know that so many of the the relatives of people who died wish to go and to them it's a very important thing personally and that's why I'm going,"" he said. 

The official memorial service will be held on the morning of October 12 and will end with a rendition by popular singer John Williamson of Australia's unofficial anthem ""Waltzing Matilda"". 

Indonesian President Megawati Sukarnoputri will not attend and will send a representative. She has also said she will be too busy to meet Howard because of a visit by the Algerian president. 
 
"	1	4	2	3	1	1			1.5	3.5
307	Australia	1993	67	Political	"SYDNEY, Nov 24 (Reuter) - American writer Gore Vidal has cancelled his appearance at the annual Adelaide Writers' Week because Australia's immigration laws require him to apply for a visa, organisers said on Wednesday. 

The resident of Italy, calling Australia ""Il paradiso di Keating"" (a play on the name of Prime Minister Paul Keating) said in a letter to the organisers that unless the immigration laws were changed, he would not attend the event. 
 
TD 
 Melbourne's The Age newspaper parodied Vidal in an editorial on Tuesday, saying Australia's laws should not faze ""such a man of the world, especially one from America which has among the most stringent immigration laws of any Western country"". 

Organisers, who had relied on Vidal as a drawing card, said they would replace him with ""an equally important American writer who doesn't think he is more important than the immigration laws."" 

The festival will be held from February 27 to March 4. 

 
"	1	5	1	5	0	0			1	5
24	Australia	1991	76	Political	"SYDNEY, Nov 12, Reuter - Australia's 500cc motorcycling champion Michael Doohan called on Tuesday for a truce between the two bodies battling for the right to run next year's world championships. 

Doohan, the runner-up behind American Wayne Rainey in the 1991 500cc grand prix series, said the row between the two factions planning rival world series had left him and other riders in limbo. 
 
TD 
 Doohan, 26, who rides for Honda, said leading riders were waiting for the teams to decide whether to compete on the breakaway circuit or one backed by the International Motorcycling Federation (FIM). 

""I feel the two should combine and that would be the best solution,"" Doohan told a news conference to promote his biography, Doohan OK. 

""I think the sport needed a change but it could have been done behind the scenes. This makes the sport look bad,"" Doohan said. 

A merger would provide a good blend of the fresh ideas for promoting the sport that the new group sought and the organisation and stability of the official circuit, Doohan added. 

Doohan's call was made amid an increasingly bitter row between the FIM and the rival International Race Teams' Association (IRTA) backed by Bernie Ecclestone, a key figure in Formula One car racing. 

Ecclestone, in Australia last week, said his group had agreements with the teams and their main sponsors. The top riders were under contract with the teams and would therefore have to ride in the breakaway series, he said. 

The FIM late last month rejected a compromise deal with Ecclestone that would have prevented a split. 

Doohan said the teams were still waiting to see the proposed calendar for the breakaway circuit and details of the promotion and television backing before deciding which way to go. 

The FIM has already released a final calendar for 16 grands prix in 1992 while IRTA said its programme for 500cc, 250cc, 125cc and sidecar events would be released shortly. 

In Australia, the FIM shifted next year's grand prix from Eastern Creek circuit in New South Wales to Phillip Island in Victoria because the New South Wales authorities had signed a five-year deal with Ecclestone's breakaway group. 

The FIM event is scheduled for April 12, the day provisionally set for the breakaway world championship race. 

""I'll be riding wherever the championship is and where my team goes,"" Doohan said. 
 
"	1	5	1	5	0	0			1	5
29	Australia	2008	78	Corporate	"SYDNEY, Dec 11 (Reuters) - Suncorp-Metway , Australia's second-biggest car and home insurer, has priced A$1.1 billion ($728.5 million) in three-year government-guaranteed fixed rate bonds at 140 basis points over swap, a joint lead said on Thursday.

Deutsche Bank and JPMorgan jointly led the offer.

A dozen investors, all from Australia, participated in the offer, the joint lead said. More than half of them were fund managers, with the balance coming from bank buyers.

NAB, the nation's largest lender by assets, is also looking to sell a self-led 5-year fixed and floating rate note issue at 120 basis points over BBSW and swap, two investors said on Thursday. Pricing is expected on Friday.

Australian banks are rushing to raise funds worldwide under a new government guarantee to help them shore up their balance sheets amid the global financial turmoil.

Australia's move follows similar guarantees introduced in other countries.

A total of $7.2 billion in government-guaranteed bonds has been raised by Australian banks this week. For a summary, see [ID:nSYD412195]. ($1=1.510 Australian Dollar) 
"	1	1	1	1	0	0			1	1
188	Australia	1992	78	Corporate	"SYDNEY, Dec 1, Reuter - Hill Samuel Bank Ltd, a unit of TSB Group Plc, has arranged to sell down its stake in unlisted Australian merchant bank Macquarie Bank Ltd to 15 pct of the voting shares, Macquarie Bank said. 

Hill Samuel now owns 29 pct of Macquarie, 14 pct of which is non-voting. 
 
TD 
 Macquarie said the move was consistent with its undertaking to the Australian government to reduce its stake when Macquarie was granted a banking licence in 1985. 

Macquarie said the share sale would be achieved through a two-part programme. 

Macquarie said it would buy back 7.7 million non-voting shares from Hill Samuel to restructure the capital of the Australian bank. It said a range of Australian institutions have expressed interest in buying the remaining 8.6 million non-voting shares, which convert to voting after purchase. 

""The agreed pricing for both share sale proposals is (Australian) $3.25 per share,"" Macquarie Bank said. 

Macquarie said Hill Samuel plans to keep the remaining 15 pct stake for the foreseeable future, ""subject to price"". 

Macquarie Bank last week reported a net profit of A$26.6 million in the half year to September 30, up 13.6 pct from a year earlier. 

 
"	1	1	1	1	0	0			1	1
254	Australia	2001	79	Political	"SYDNEY, Nov 10 (Reuters) - Labor leader Kim Beazley conceded defeat in Australia's general election on Saturday, beaten by Prime Minister John Howard's tough crackdown against a rising tide of asylum seekers trying to reach Australia. 

""I'm afraid tonight I have to concede defeat,"" Beazley told party faithful in his home seat in Western Australia state. 
 
TD 
 Beazley also stepped down as leader of his party. ""It is not my intention to remain as leader of the Australian Labor Party."" 

Beazley threw in the towel as vote counting showed a swing of at least two percent to Howard's conservative coalition government, which has won a third consecutive term. 

Howard appeared doomed six months ago but his fortunes turned dramatically in August when he began to turn away boats carrying mainly Middle Eastern and Afghani asylum seekers. 

This, coupled with Australian support for the U.S.-led war on terrorism, overshadowed domestic affairs in the five-week campaign, leaving Beazley's centre-left Labor struggling to get attention for his agenda of jobs, education and health. 

Although the boatpeople policy was condemned as xenophobic and inhumane by religious and human rights groups as well as former politicians from both sides it received overwhelming public support. 
 
"	1	5	1	5	0	0			1	5
20	Australia	2005	81	Political	"SYDNEY, Nov 8 (Reuters) - Australian authorities are investigating the death of two stowaways found on board a bulk fertiliser carrier that sailed from Morocco and docked in Western Australia on Tuesday. 

The two men died while hiding in the cargo hold of the Furness Karumba, which left the Moroccan port of Laayoune on Oct. 7 and docked at Kwinana, south of Perth, police said. 
 
TD 
 The bodies of the men, who have not been identified, were discovered on Oct. 31, when the 12,000-tonne ship was at sea. 

Two other stowaways, who were found alive by the ship's crew, were helped off the Panamanian-registered vessel and taken to hospital, where their conditions are being monitored. 

A police spokesman said the four men were found by chance when crew members were checking the ship's hull for possible damage last week. 

He said the survivors, Moroccans aged 32 and 22, appeared emaciated and were lucky to have survived. 

""Anyone who knows these bulk carriers knows there is not much breathing space in the hold. Given the cargo they were travelling with, they are extremely lucky to be alive,"" he said. 
 
"	1	4	1	4	0	0			1	4
349	Australia	2004	81	Political	"SYDNEY, Oct 22 (Reuters) - Beleaguered Australian building products group James Hardie N.V. ousted its chief executive on Friday and named the head of its U.S. operations as interim chief after asbestos litigation blew a hole in its finances. 

The new chief, Louis Gries, is a 13-year Hardie veteran who cut his teeth on the group's U.S. business, which contributed about 80 percent of its nearly $1 billion revenue last year. 
 
TD 
 Following Chief Executive Peter Macdonald out of the door is Chief Financial Officer Peter Shafron. Hardie named Russell Chenu as his succeesor. Both appointments are effective immediately. 

Hardie is at the centre of an asbestos scandal after a public inquiry found a fund it set up was as much as A$1.9 billion ($1.4 billion) below the amount needed to compensate sufferers of mesothelioma, an asbestos disease that chokes its victims. 

Fund managers had expected Gries to succeed Macdonald, who was highly regarded for his skill in building Hardie into the biggest maker of home siding in the United States. 

However, Macdonald's handling of the asbestos shortfall had sparked public outrage, leading to a probe by securities regulators after a special inquiry said Macdonald and Shafron broke the law when they said the fund was sufficient. 

Hardie stock added 1.5 percent in a mildly firmer market to A$6.15, 21 percent below a record high of A$7.81 touched in October before the asbestos fund shortfall woes emerged. 

However it was 24 percent above a three-year low of A$4.95, plumbed two months ago on jitters ahead of the inquiry report. 

Mike Kendall, head of Goldman Sachs J.B. Were's retail broking arm, Were OnCall, said the stock's gains were muted. 

""The market's response is pretty mixed because, while there's relief that there's now someone at the helm, Peter Macdonald was highly regarded for his business acumen."" 

GRIES FINDS FAVOUR 

Gries is seen by investors as a highly capable replacement, and likely to be named to the post for the long haul. 

""The appointment of Louis Gries as interim CEO seems more like a trial period as CEO to us,"" Alex Pikoulas, an analyst at Morgan Stanley, said in a report. 

Gries was named president of the company's U.S. building products division about 11 years ago, and has been overseeing Hardie's global operations, sales and marketing for nearly two years as its executive vice president of operations. 

""He is more than qualified for the top job,"" Pikoulas said. 

Macdonald and Shafron stepped aside nearly a month ago after a government-commissioned inquiry said they misled and deceived the public over the size of the fund for several thousand sufferers of asbestos-related disease and bereaved families. 

New South Wales Premier Bob Carr has written to the New York Stock Exchange asking it to look more closely at Hardie. 

Hardie Chairwoman Meredith Hellicar told reporters Macdonald would receive a $6.5 million pay-off, incensing asbestos victims. 

""The only proper thing for him to do, if he gets a golden handshake, is to turn around and put it straight back into the fund,"" said Bernie Banton, vice president of the Asbestos Diseases Foundation of Australia. ($1=A$1.35). 
 
"	1	5	2	5	1	0			1.5	5
466	Australia	1998	85	Political	"SYDNEY, Dec 12 (Reuters) - The re-enactment of an Australian cult ""bikie"" movie on Saturday ended in a 50 motorcycle pile-up which left one rider dead and 14 injured. 

An estimated 15,000 to 20,000 motorcyclists began a ride north from Sydney to Newcastle along the F3 freeway on Saturday morning to celebrate the 25th anniversary of the movie ""Stone"", which featured a ride by thousands of bikies. 
 
TD 
 But around noon several bikes collided with a broken down car, causing the pile-up, a police spokeswoman said. 

Ambulance officials said one rider was dead and eight had serious spinal, head and limb injuries. A fleet of ambulances and two helicopters ferried the 14 injured bikers to several hospitals. 

 
"	2	1	2	1	0	0			2	1
360	Australia	2002	88	Political	"SYDNEY, Nov 14 (Reuters) - Anti-globalisation protesters gathered in Sydney's central business district on Thursday to begin two days of demonstrations as a World Trade Organisation (WTO) mini-summit began in the city. 
 
TD 
 Police have launched Olympic-style security for the November 14-15 meeting of 25 trade ministers, locking down the conference site at Sydney Olympic Park with a ring of steel fencing and concrete barriers. 

Police have banned street marches fearing violence, but protesters gathering on Thursday said they planned to stage a peaceful march through Sydney's business district. 

""We are committed to a peaceful protest but police have refused us march permits. We hope police aren't trying to provoke some confrontation,"" said march organiser Simon Butler. 

""We have the right to free speech and the right to march in the streets to take our message to as many people as possible,"" he said. ""The WTO exists to benefit first world corporations and first world business interest at the expense of the third world."" 

Around 1,000 protesters gathered in Sydney's Martin Place pedestrian mall before the march. 

In a carnival atmosphere, music blared, protesters chanted ""Shut down WTO"", and some danced and meditated. The demonstration also included protests against any U.S.-led war on Iraq and pro-refugee/boatpeople groups. 

Two protesters wearing U.S. President George W. Bush face masks pushed around a mobile missile, while three women stripped naked and splashed red paint on their bodies outside the U.S. Consulate, chanting ""stop the war on women"". 

""Essentially we don't want to see people in Iraq suffer in a war which is not really about terrorism but about oil and power in the Middle East,"" said Ben Stevenson from the Socialist Alternative. 

Only a handful of protesters covered their faces with balaclavas and scarfs, but protest medical and legal teams prepared for the worse. 

""Increasingly police tactics are becoming more paramilitary and it makes us a necessity for modern protests,"" said registered nurse Change Upton. 

""Unfortunately we have to bring out the stretchers."" 

The WTO mini-summit will be the first by global trade ministers since the Doha round of trade talks last year and will aim to reach agreement on freeing up medicines to third world countries to fight HIV-AIDS and tuberculosis. 

It will also aim to smooth the way to the next full WTO conference in Mexico in 2003. 

The meeting will be attended by WTO director-general Supachai Panitchpakdi, U.S. Trade Representative Robert Zoellick and Japan's Minister of Economy, Trade and Industry Takeo Hiranuma. 
 
"	2	4	2	3	0	1		1	2	3.5
